case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.010000000000218279,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.010000000000218279,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.0,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.0,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.00999999999839929
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.010000000000218279
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.010000000000218279
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.010000000000218279
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.010000000000218279
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.010000000000218279
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.010000000000218279
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
